 ,Image_ID,Track,Mother?,Frame,X,Y,Ch1_Mean,Ch2_Mean,Ch3_Mean,Ch4_Mean,Ch5_Mean,Cilia_COMX,Cilia_COMY,Distance_to_Cilia_(um),Length,Feret,Straightness,Kurt,Skew,Angle
136,280316_weekend_xy10.nd2,1b,0,71,153,173,96.8375,1758.9750,45.4250,850.8500,0,143,163,14.1421,7.8173,9.2195,1.1794,0.1372,-0.8816,49.3987
137,280316_weekend_xy10.nd2,1b,0,72,153,173,84.7000,1796.0375,56.2750,898.0125,0,142,166,13.0384,7.2361,7.2111,0.9965,-1.3021,0.5827,56.3099
138,280316_weekend_xy10.nd2,1b,0,73,120,176,127.3000,2082.4625,331.4750,795.9250,0,112,169,10.6301,8.6056,7.6158,0.8850,-1.0119,-0.1278,66.8014
139,280316_weekend_xy10.nd2,1b,0,74,117,182,154.2500,2210.7875,141.1125,743.8125,0,113,170,12.6491,7.0711,8.2462,1.1662,-1.6190,0.2645,104.0362
140,280316_weekend_xy10.nd2,1b,0,75,120,179,158.8250,2117.2000,33.4250,701.0375,0,110,171,12.8062,6.0000,7.0711,1.1785,-1.8165,0.2472,98.1301
141,280316_weekend_xy10.nd2,1b,0,76,122,184,125.2250,2288.8125,29.5000,823.6500,0,108,178,15.2315,9.0554,10.1980,1.1262,-1.0041,0.2747,101.3099
142,280316_weekend_xy10.nd2,1b,0,77,119,181,172.9875,2202.0000,45.0750,721.5500,0,104,178,15.2971,7.0711,8.4853,1.2000,0.9389,1.6341,135.0000
143,280316_weekend_xy10.nd2,1b,0,78,119,185,135.4750,2299.9500,57.9125,816.1000,0,105,179,15.2315,8.6056,10.0000,1.1620,-1.7533,-0.0889,126.8699
144,280316_weekend_xy10.nd2,1b,0,79,120,183,140.9125,2351.2375,477.1875,770.9250,0,105,180,15.2971,9.4365,10.8167,1.1463,-0.2853,0.7368,123.6901
145,280316_weekend_xy10.nd2,1b,0,80,148,182,140.8375,2390.5875,652.2875,837.0000,0,130,180,18.1108,8.6056,9.8995,1.1504,-1.0792,-0.2506,135.0000
146,280316_weekend_xy10.nd2,1b,0,81,147,182,164.6500,2418.7375,334.9250,806.5500,0,133,177,14.8661,7.8102,9.2195,1.1804,-1.1888,0.4014,139.3987
147,280316_weekend_xy10.nd2,1b,0,82,143,188,166.6375,1925.3250,59.5750,739.7750,0,131,177,16.2788,7.8102,9.2195,1.1804,-1.2462,0.6068,130.6013
148,280316_weekend_xy10.nd2,1b,0,83,143,189,154.8625,2220.3875,26.3875,804.0625,0,133,179,14.1421,9.2195,10.6301,1.1530,-0.6934,0.7953,138.8141
